_id,Sl. No,District,Murder - Incidence (I),Murder -Victims (V),Murder - Rate ( R ),Culpable Homicide Not Murder - I,Culpable Homicide Not Murder - V,Culpable Homicide Not Murder - R,Causing Death by Negligence - I,Causing Death by Negligence - V,Causing Death by Negligence - R
1,1,Ariyalur,18,18,2.3,1,1,0.1,161,174,20.1
2,2,Chennai,161,164,2.2,6,6,0.1,1095,1121,15.1
3,3,Coimbatore,56,60,2.3,1,1,0,608,622,24.7
4,4,Coimbatore  City,30,31,2.5,0,0,0,252,254,21
5,5,Cuddalore,46,46,1.7,0,0,0,525,550,19
6,6,Dharmapuri,28,31,1.8,4,4,0.3,313,322,19.6
7,7,Dindigul,47,50,2.1,3,3,0.1,509,539,22.2
8,8,Erode,44,44,1.8,2,2,0.1,494,525,20.7
9,9,Kanchipuram,30,30,3.1,0,0,0,233,240,24.3
10,10,Kanyakumari,28,29,1.4,3,3,0.2,307,321,15.5
11,11,Karur,22,22,1.9,0,0,0,400,420,35.4
12,12,Krishnagiri,66,67,3.3,1,1,0.1,554,600,27.8
13,13,Madurai,67,71,3.3,0,0,0,529,557,25.7
14,14,Madurai City,35,35,3,0,0,0,159,161,13.7
15,15,Nagapattinam,46,46,2.7,0,0,0,220,225,12.9
16,16,Namakkal,41,41,2.2,0,0,0,422,431,23.1
17,17,Nilgiris,15,19,1.9,0,0,0,32,33,4.1
18,18,Perambalur,20,21,3.3,0,0,0,164,173,27.3
19,19,Pudukottai,30,30,1.7,0,0,0,370,390,21.5
20,20,Ramnathapuram,56,58,3.9,9,9,0.6,318,335,22.2
21,21,Railway Chennai,3,3,-,1,1,-,1,1,-
22,22,Railway Trichy,0,0,-,0,0,-,0,0,-
23,23,Salem,51,57,1.9,1,1,0,559,572,20.4
24,24,Salem City,25,25,2.6,0,0,0,149,151,15.7
25,25,Sivagangai,42,44,3,2,2,0.1,320,337,22.5
26,26,Thanjavur,57,57,2.2,0,0,0,416,431,16.3
27,27,Theni,36,37,2.7,0,0,0,226,239,17.1
28,28,Thirunelveli,54,55,4.5,1,1,0.1,269,283,22.2
29,29,Thirunelveli City,9,9,1.7,0,0,0,76,80,14.1
30,30,Thiruvallur,38,40,1.5,3,3,0.1,323,336,12.9
31,31,Thiruvannamalai,36,36,1.4,11,12,0.4,490,522,18.8
32,32,Thiruvarur,28,28,2.1,0,0,0,162,168,12.1
33,33,Thoothukudi,50,51,2.7,4,4,0.2,383,407,20.6
34,34,Tiruppur,41,45,1.9,0,0,0,640,667,30.2
35,35,Tiruppur City,20,20,3.9,0,0,0,144,147,28.2
36,36,Trichy,46,46,2.4,0,0,0,498,513,25.9
37,37,Trichy City,17,17,1.8,0,0,0,147,151,15.2
38,38,Vellore,26,26,1.6,4,4,0.2,238,246,14.4
39,39,Villupuram,25,27,1.1,7,7,0.3,503,520,23
40,40,Virudhunagar,46,47,2.2,3,6,0.1,413,436,20
41,41,Cyber Cell,0,0,-,0,0,-,0,0,-
42,42,Other Units,0,0,-,0,0,-,0,0,-
43,43,Chengalpattu,27,28,1.1,0,0,0,452,472,18.7
44,44,Kallakurichi,29,30,2,1,2,0.1,255,275,17.2
45,45,Ranipet,23,24,1.8,0,0,0,239,242,18.8
46,46,Tiruppattur,23,23,1.8,3,4,0.2,218,226,17.4
47,47,Tenkasi,48,53,3.2,0,0,0,226,238,15
48,,TOTAL,1686,1741,2.2,71,77,0.1,15012,15653,19.6
