Title,Price,Link
A Light in the ...,£51.77,catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74,catalogue/tipping-the-velvet_999/index.html
Soumission,£50.10,catalogue/soumission_998/index.html
Sharp Objects,£47.82,catalogue/sharp-objects_997/index.html
Sapiens: A Brief History ...,£54.23,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65,catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets ...,£33.34,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
The Coming Woman: A ...,£17.93,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the ...,£22.60,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15,catalogue/the-black-maria_991/index.html
Starving Hearts (Triangular Trade ...,£13.99,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66,catalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46,catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little ...,£52.29,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and ...,£35.02,catalogue/rip-it-up-and-start-again_986/index.html
Our Band Could Be ...,£57.25,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88,catalogue/olio_984/index.html
Mesaerion: The Best Science ...,£37.59,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33,catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17,catalogue/its-only-the-himalayas_981/index.html
